Livestock,Area,Year,Value,Flags
"Total pigs","Otago","As at June 30 2017",11576,
"Piglets weaned","Otago","As at June 30 2003",24478,
"Piglets weaned","Otago","As at June 30 2004",23361,
"Piglets weaned","Otago","As at June 30 2005",19799,
"Piglets weaned","Otago","As at June 30 2006",15608,
"Piglets weaned","Otago","As at June 30 2007",28429,
"Piglets weaned","Otago","As at June 30 2008",27181,
"Piglets weaned","Otago","As at June 30 2009",26800,
"Piglets weaned","Otago","As at June 30 2010",21528,
"Piglets weaned","Otago","As at June 30 2011",17307,
"Piglets weaned","Otago","As at June 30 2012",23745,
"Piglets weaned","Otago","As at June 30 2013",17033,
"Piglets weaned","Otago","As at June 30 2014",18388,
"Piglets weaned","Otago","As at June 30 2015",9619,
"Piglets weaned","Otago","As at June 30 2016",15587,
"Piglets weaned","Otago","As at June 30 2017",17456,
"Total horses","Otago","As at June 30 1994",4003,
"Total horses","Otago","As at June 30 2002",3789,
"Total horses","Otago","As at June 30 2003",4099,
"Total horses","Otago","As at June 30 2004",3473,
"Total horses","Otago","As at June 30 2007",2885,
"Total horses","Otago","As at June 30 2008",2512,
"Total horses","Otago","As at June 30 2010",3184,
"Total horses","Otago","As at June 30 2011",2788,
"Total horses","Otago","As at June 30 2012",2662,
"Total horses","Otago","As at June 30 2013",2286,
"Total horses","Otago","As at June 30 2014",2234,
"Total horses","Otago","As at June 30 2015",1769,
"Total horses","Otago","As at June 30 2016",1702,
"Total horses","Otago","As at June 30 2017",1703,
"Total beef cattle","Southland","As at June 30 1994",202538,
"Total beef cattle","Southland","As at June 30 2002",203670,
"Total beef cattle","Southland","As at June 30 2003",220042,
"Total beef cattle","Southland","As at June 30 2004",216523,
"Total beef cattle","Southland","As at June 30 2005",202326,
"Total beef cattle","Southland","As at June 30 2006",204632,
"Total beef cattle","Southland","As at June 30 2007",207588,
"Total beef cattle","Southland","As at June 30 2008",190562,
"Total beef cattle","Southland","As at June 30 2009",214927,
"Total beef cattle","Southland","As at June 30 2010",186157,
"Total beef cattle","Southland","As at June 30 2011",173798,
"Total beef cattle","Southland","As at June 30 2012",172150,
"Total beef cattle","Southland","As at June 30 2013",168031,
"Total beef cattle","Southland","As at June 30 2014",173957,
"Total beef cattle","Southland","As at June 30 2015",164718,
"Total beef cattle","Southland","As at June 30 2016",169251,
"Total beef cattle","Southland","As at June 30 2017",175201,
"Calves born alive to beef heifers/cows","Southland","As at June 30 1994",55911,
"Calves born alive to beef heifers/cows","Southland","As at June 30 2002",57170,
"Calves born alive to beef heifers/cows","Southland","As at June 30 2003",55421,
"Calves born alive to beef heifers/cows","Southland","As at June 30 2004",60880,
"Calves born alive to beef heifers/cows","Southland","As at June 30 2005",59060,
"Calves born alive to beef heifers/cows","Southland","As at June 30 2006",55286,
"Calves born alive to beef heifers/cows","Southland","As at June 30 2007",58086,
"Calves born alive to beef heifers/cows","Southland","As at June 30 2008",53823,
"Calves born alive to beef heifers/cows","Southland","As at June 30 2009",55752,
"Calves born alive to beef heifers/cows","Southland","As at June 30 2010",50608,
"Calves born alive to beef heifers/cows","Southland","As at June 30 2011",49308,
"Calves born alive to beef heifers/cows","Southland","As at June 30 2012",47841,
"Calves born alive to beef heifers/cows","Southland","As at June 30 2013",45451,
"Calves born alive to beef heifers/cows","Southland","As at June 30 2014",49989,
"Calves born alive to beef heifers/cows","Southland","As at June 30 2015",51059,
"Calves born alive to beef heifers/cows","Southland","As at June 30 2016",55534,
"Calves born alive to beef heifers/cows","Southland","As at June 30 2017",51268,
"Total dairy cattle","Southland","As at June 30 1994",114378,
"Total dairy cattle","Southland","As at June 30 2002",356220,
"Total dairy cattle","Southland","As at June 30 2003",347793,
"Total dairy cattle","Southland","As at June 30 2004",349021,
"Total dairy cattle","Southland","As at June 30 2005",348075,
"Total dairy cattle","Southland","As at June 30 2006",375911,
"Total dairy cattle","Southland","As at June 30 2007",432642,
"Total dairy cattle","Southland","As at June 30 2008",495971,
"Total dairy cattle","Southland","As at June 30 2009",589184,
"Total dairy cattle","Southland","As at June 30 2010",599198,
"Total dairy cattle","Southland","As at June 30 2011",614648,
"Total dairy cattle","Southland","As at June 30 2012",670581,
"Total dairy cattle","Southland","As at June 30 2013",615428,
"Total dairy cattle","Southland","As at June 30 2014",700039,
"Total dairy cattle","Southland","As at June 30 2015",731209,
"Total dairy cattle","Southland","As at June 30 2016",708895,
"Total dairy cattle","Southland","As at June 30 2017",681011,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 1994",69008,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 2002",196850,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 2003",196888,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 2004",189079,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 2005",235499,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 2006",230640,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 2007",285986,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 2008",297241,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 2009",329532,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 2010",361508,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 2011",398934,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 2012",386691,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 2013",349571,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 2014",412957,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 2015",388519,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 2016",492412,
"Calves born alive to dairy heifers/cows","Southland","As at June 30 2017",478592,
"Total sheep","Southland","As at June 30 1994",7850791,
"Total sheep","Southland","As at June 30 2002",5950657,
"Total sheep","Southland","As at June 30 2003",5855296,
"Total sheep","Southland","As at June 30 2004",5966919,
"Total sheep","Southland","As at June 30 2005",5950627,
"Total sheep","Southland","As at June 30 2006",5928761,
"Total sheep","Southland","As at June 30 2007",5662387,
"Total sheep","Southland","As at June 30 2008",4739003,
"Total sheep","Southland","As at June 30 2009",4556206,
"Total sheep","Southland","As at June 30 2010",4597335,
"Total sheep","Southland","As at June 30 2011",4112930,
"Total sheep","Southland","As at June 30 2012",4356427,
"Total sheep","Southland","As at June 30 2013",4390785,
"Total sheep","Southland","As at June 30 2014",4299214,
"Total sheep","Southland","As at June 30 2015",4072964,
"Total sheep","Southland","As at June 30 2016",3711484,
"Total sheep","Southland","As at June 30 2017",3987294,
"Total lambs marked and/or tailed","Southland","As at June 30 1994",7245394,
"Total lambs marked and/or tailed","Southland","As at June 30 2002",6149496,
"Total lambs marked and/or tailed","Southland","As at June 30 2003",5996762,
"Total lambs marked and/or tailed","Southland","As at June 30 2004",5969743,
"Total lambs marked and/or tailed","Southland","As at June 30 2005",5928553,
"Total lambs marked and/or tailed","Southland","As at June 30 2006",6030018,
"Total lambs marked and/or tailed","Southland","As at June 30 2007",5853449,
"Total lambs marked and/or tailed","Southland","As at June 30 2008",5782058,
"Total lambs marked and/or tailed","Southland","As at June 30 2009",4962602,
"Total lambs marked and/or tailed","Southland","As at June 30 2010",5018657,
"Total lambs marked and/or tailed","Southland","As at June 30 2011",4059022,
"Total lambs marked and/or tailed","Southland","As at June 30 2012",4487681,
"Total lambs marked and/or tailed","Southland","As at June 30 2013",4443795,
"Total lambs marked and/or tailed","Southland","As at June 30 2014",4501585,
"Total lambs marked and/or tailed","Southland","As at June 30 2015",4366221,
"Total lambs marked and/or tailed","Southland","As at June 30 2016",3987805,
"Total lambs marked and/or tailed","Southland","As at June 30 2017",4164046,
"Total deer","Southland","As at June 30 1994",184512,
"Total deer","Southland","As at June 30 2002",351558,
"Total deer","Southland","As at June 30 2003",356948,
"Total deer","Southland","As at June 30 2004",390423,
"Total deer","Southland","As at June 30 2005",371374,
"Total deer","Southland","As at June 30 2006",347537,
"Total deer","Southland","As at June 30 2007",307524,
"Total deer","Southland","As at June 30 2008",270072,
"Total deer","Southland","As at June 30 2009",242288,
"Total deer","Southland","As at June 30 2010",245975,
"Total deer","Southland","As at June 30 2011",243877,
"Total deer","Southland","As at June 30 2012",238402,
"Total deer","Southland","As at June 30 2013",221388,
"Total deer","Southland","As at June 30 2014",223025,
"Total deer","Southland","As at June 30 2015",197881,
"Total deer","Southland","As at June 30 2016",185664,
"Total deer","Southland","As at June 30 2017",192480,
"Fawns weaned","Southland","As at June 30 1994",56858,
"Fawns weaned","Southland","As at June 30 2002",147434,
"Fawns weaned","Southland","As at June 30 2003",148179,
"Fawns weaned","Southland","As at June 30 2004",162204,
"Fawns weaned","Southland","As at June 30 2005",144238,
"Fawns weaned","Southland","As at June 30 2006",143917,
"Fawns weaned","Southland","As at June 30 2007",128365,
"Fawns weaned","Southland","As at June 30 2008",118798,
"Fawns weaned","Southland","As at June 30 2009",90807,
"Fawns weaned","Southland","As at June 30 2010",103659,
"Fawns weaned","Southland","As at June 30 2011",100092,
"Fawns weaned","Southland","As at June 30 2012",99636,
"Fawns weaned","Southland","As at June 30 2013",92800,
"Fawns weaned","Southland","As at June 30 2014",87535,
"Fawns weaned","Southland","As at June 30 2015",81365,
"Fawns weaned","Southland","As at June 30 2016",80745,
"Fawns weaned","Southland","As at June 30 2017",80308,
"Total pigs","Southland","As at June 30 1994",7235,
"Total pigs","Southland","As at June 30 2002",7376,
"Total pigs","Southland","As at June 30 2003",3441,
"Total pigs","Southland","As at June 30 2004",3322,
"Total pigs","Southland","As at June 30 2005",2734,
"Total pigs","Southland","As at June 30 2007",4303,
"Total pigs","Southland","As at June 30 2008",4086,
"Total pigs","Southland","As at June 30 2010",977,
"Total pigs","Southland","As at June 30 2011",625,
"Total pigs","Southland","As at June 30 2012",,s
"Total pigs","Southland","As at June 30 2013",1091,
"Total pigs","Southland","As at June 30 2014",,c
"Total pigs","Southland","As at June 30 2015",415,
"Total pigs","Southland","As at June 30 2016",,s
"Total pigs","Southland","As at June 30 2017",408,
"Piglets weaned","Southland","As at June 30 2003",7350,
"Piglets weaned","Southland","As at June 30 2004",6949,
"Piglets weaned","Southland","As at June 30 2005",5305,
"Piglets weaned","Southland","As at June 30 2006",6644,
"Piglets weaned","Southland","As at June 30 2007",6738,
"Piglets weaned","Southland","As at June 30 2008",7709,
"Piglets weaned","Southland","As at June 30 2009",4680,
"Piglets weaned","Southland","As at June 30 2012",,s
"Piglets weaned","Southland","As at June 30 2013",1750,
"Piglets weaned","Southland","As at June 30 2014",,c
"Piglets weaned","Southland","As at June 30 2015",1002,
"Piglets weaned","Southland","As at June 30 2016",1126,
"Piglets weaned","Southland","As at June 30 2017",967,
"Total horses","Southland","As at June 30 1994",4252,
"Total horses","Southland","As at June 30 2002",5097,
"Total horses","Southland","As at June 30 2003",4314,
"Total horses","Southland","As at June 30 2004",3344,
"Total horses","Southland","As at June 30 2007",3366,
"Total horses","Southland","As at June 30 2008",3079,
"Total horses","Southland","As at June 30 2011",2189,
"Total horses","Southland","As at June 30 2012",3468,
"Total horses","Southland","As at June 30 2013",3523,
"Total horses","Southland","As at June 30 2014",2962,
"Total horses","Southland","As at June 30 2015",2144,
"Total horses","Southland","As at June 30 2016",6057,
"Total horses","Southland","As at June 30 2017",2466,
"Total beef cattle","Chatham Islands","As at June 30 1994",6472,
"Total beef cattle","Chatham Islands","As at June 30 2002",8863,
"Total beef cattle","Chatham Islands","As at June 30 2007",11905,
"Total beef cattle","Chatham Islands","As at June 30 2008",12327,
"Total beef cattle","Chatham Islands","As at June 30 2009",13374,
"Total beef cattle","Chatham Islands","As at June 30 2010",13809,
"Total beef cattle","Chatham Islands","As at June 30 2012",,c
"Total beef cattle","Chatham Islands","As at June 30 2013",10050,
"Total beef cattle","Chatham Islands","As at June 30 2014",9926,
"Total beef cattle","Chatham Islands","As at June 30 2015",10462,
"Total beef cattle","Chatham Islands","As at June 30 2016",9051,
"Total beef cattle","Chatham Islands","As at June 30 2017",11299,
"Calves born alive to beef heifers/cows","Chatham Islands","As at June 30 1994",1676,
"Calves born alive to beef heifers/cows","Chatham Islands","As at June 30 2002",3551,
"Calves born alive to beef heifers/cows","Chatham Islands","As at June 30 2007",5651,
"Calves born alive to beef heifers/cows","Chatham Islands","As at June 30 2008",5203,
"Calves born alive to beef heifers/cows","Chatham Islands","As at June 30 2009",4568,
"Calves born alive to beef heifers/cows","Chatham Islands","As at June 30 2010",4772,
"Calves born alive to beef heifers/cows","Chatham Islands","As at June 30 2011",5305,
"Calves born alive to beef heifers/cows","Chatham Islands","As at June 30 2012",4564,
"Calves born alive to beef heifers/cows","Chatham Islands","As at June 30 2013",3625,
"Calves born alive to beef heifers/cows","Chatham Islands","As at June 30 2014",3692,
